업종,작업,발생형태,질문,가중치,law_ref
건설업,굴착 작업,빠짐익사,"개구부(기초굴착부, 집수정, 용수잠관 등)가 있는 작업장에서 추락 및 빠짐 위험을 방지하기 위해 덮개, 안전난간, 또는 접근금지 표지를 설치했는가?",3,1487
건설업,굴착 작업,빠짐익사,"물이 있는 작업장에서 흙탕물 등으로 수심 아래 지형을 파악할 수 없는 경우, 웨빙띠나 깃발 등으로 위험구간을 사전에 표시했는가?",2,"1955,1969"
건설업,흙막이 지보공 작업,물체에맞음,중량물 취급 작업 시 근로자 출입을 통제하고 유도자(신호수)를 배치하고 있는가?,8,"1656,2005"
건설업,흙막이 지보공 작업,물체에맞음,중량물 인양 작업 중 인양물의 탈락 방지 방법을 작업계획서에 명시하고 실행하고 있는가?,7,1969
건설업,흙막이 지보공 작업,물체에맞음,중량물 인양 작업 시 작업계획서를 사전에 작성하고 관리감독자를 배치하여 작업하고 있는가?,6,1473
건설업,흙막이 지보공 작업,물체에맞음,"체인블록, 와이어로프, 클램프 등 중량물 취급 장비의 해지장치와 결합부를 정기적으로 점검하고 불량품을 교체하고 있는가?",5,"1969,2104"
건설업,흙막이 지보공 작업,물체에맞음,"흙막이 지보공 부재(띠장, H-형강, 어스앵커 등)에 대해 사전에 단면결손, 변형, 용접불량, 부식 등을 검수하고 있는가?",5,"1969,1966"
건설업,흙막이 지보공 작업,떨어짐,흙막이 지보공 위의 띠장이나 버팀보 위에서 작업할 때 근로자가 균형을 잃지 않도록 충분한 폭의 작업면을 확보하고 있는가?,7,"1969,1486"
건설업,흙막이 지보공 작업,떨어짐,흙막이 지보공 상부에서 작업할 때 안전대를 지급하고 근로자가 착용한 상태에서 작업을 실시하고 있는가?,6,"1969,1486"
건설업,흙막이 지보공 작업,떨어짐,추락위험이 있는 장소에 안전난간이나 추락방호망이 설치되어 있는가?,6,"1969,1487"
건설업,흙막이 지보공 작업,떨어짐,근로자가 안전하게 이동할 수 있는 가설통로가 설치되어 있고 항상 사용 가능한 상태로 유지되고 있는가?,5,"1969,1487"
건설업,흙막이 지보공 작업,떨어짐,흙막이 지보공 상부 등 고소작업 장소에 작업발판이 설치되어 있는가?,4,"1969,1966"
건설업,흙막이 지보공 작업,절단베임찔림,"흙막이 가설구조물의 절단 작업(Sheet pile, H-Beam, 띠장 등) 시 구조물의 전도 또는 낙하를 방지하기 위한 안정화 조치가 취해지고 있는가?",3,1969
건설업,흙막이 지보공 작업,절단베임찔림,흙막이 가설구조물 해체 작업 시 이동식크레인 등 차량계 건설기계 사용에 따른 작업계획서가 작성되고 작업지휘자가 지정되어 있는가?,3,"1477,1967"
건설업,흙막이 지보공 작업,절단베임찔림,"흙막이 가설구조물(작업발판, 띠장, 버팀보 등) 상단부에서 작업할 때 안전난간이 설치되어 있는가?",2,"1487,1944"
건설업,흙막이 지보공 작업,절단베임찔림,"흙막이 가설구조물 상단부에서 작업하는 근로자가 안전대를 착용하고 있으며, 안전대 부착설비가 설치되어 있는가?",2,"1489,1486"
건설업,흙막이 지보공 작업,절단베임찔림,"흙막이 가설구조물 절단 작업 구간에서 상하 동시 작업이 통제되고 있으며, 낙하물 위험구간에 근로자가 진입하지 않도록 관리되고 있는가?",2,"1969,1487,1713"
건설업,기초파일 작업,물체에맞음,"중량물 인양 작업 중 회전, 낙하, 전도 등의 위험이 발생할 수 있는 상황에 대해 사전에 위험성 평가를 실시하고 있는가?",7,1499
건설업,기초파일 작업,물체에맞음,중량물 인양 작업 시 작업계획서를 사전에 작성하고 관리감독자를 배치하여 작업하고 있는가?,5,1473
건설업,기초파일 작업,물체에맞음,차량계 건설기계 작업 시 근로자 출입을 통제하고 유도자를 배치하고 있는가?,5,"1964,1731"
건설업,기초파일 작업,물체에맞음,중량물 인양 시 외줄달기를 지양하고 두줄걸이 등 안전한 줄걸이 방법을 사용하고 있는가?,4,
건설업,기초파일 작업,물체에맞음,"와이어로프, 체인, 샤클 등 줄걸이 자재의 손상, 마모, 변형, 부식 상태를 정기적으로 점검하고 있는가?",4,1507
건설업,기초파일 작업,떨어짐,"천공기, 항타기, 이동식크레인 등 건설기계의 와이어로프, 용접부위, 안전장치 상태를 정기적으로 점검하고 있는가?",5,"2104,2136,1848"
건설업,기초파일 작업,떨어짐,"중량물 인양 작업 시 안전핀, 와이어로프, 벨트-슬링 등 안전장치가 제대로 체결되고 고정되어 있는지 확인하고 있는가?",4,1767
건설업,기초파일 작업,떨어짐,중량물 인양 및 낙하 위험이 있는 작업 반경 내에 근로자 출입을 통제하고 있는가?,4,"1964,1718,1486"
건설업,기초파일 작업,떨어짐,"물체에 맞을 위험이 있는 작업(중량물 매달기, 낙하물 위험 등) 시 근로자 출입금지 조치를 실시하고 있는가?",4,"1998,1718,1700"
건설업,기초파일 작업,떨어짐,중량물이 근로자의 머리 위로 통과하지 않도록 작업 경로를 계획하고 통제하고 있는가?,3,"1718,1486,1964"
건설업,기초파일 작업,깔림.뒤집힘,차량계 건설기계 작업 시 근로자 출입을 통제하고 유도자를 배치하고 있는가?,4,"1964,1731"
건설업,기초파일 작업,깔림.뒤집힘,중량물 인양 작업 시 두 군데 이상에 결속하여 외줄달기를 지양하고 있는가?,3,1767
건설업,기초파일 작업,깔림.뒤집힘,중량물 취급 작업 전에 작업계획서를 사전에 작성하고 관리감독자를 배치하여 작업하고 있는가?,3,"1473,1477"
건설업,기초파일 작업,깔림.뒤집힘,"줄걸이에 사용되는 와이어로프, 슬링벨트, 섬유벨트 등의 상태를 수시로 점검하고 손상 시 즉시 교체하고 있는가?",3,"1717,1719"
건설업,기초파일 작업,깔림.뒤집힘,"인양 장비(굴삭기, 항타기 등)의 안전핀, 훅, 리더 등 부속품이 정상 상태인지 정기적으로 점검하고 있는가?",3,1645
건설업,되메움 작업,깔림.뒤집힘,"차량계 건설기계(굴삭기, 덤프트럭 등) 후진 작업 시 유도자를 배치하고 있는가?",2,"1964,2005"
건설업,되메움 작업,깔림.뒤집힘,차량계 건설기계의 운전자가 후진 시 주변을 명확히 볼 수 있도록 센서나 카메라 등 시야확보 장치를 설치하고 있는가?,2,"1704,1728"
건설업,되메움 작업,깔림.뒤집힘,차량계 건설기계 후진 시 경보음 설비가 정상 작동하는지 정기적으로 점검하고 있는가?,2,"2104,2136"
건설업,되메움 작업,깔림.뒤집힘,되메우기 작업 중 작업반경 내 인원을 통제하고 불필요한 근로자의 진입을 제한하고 있는가?,2,"1964,1487"
건설업,되메움 작업,깔림.뒤집힘,덤프트럭 토사 하역 작업 시 하역장소의 지반 침하 여부를 사전에 점검하고 있는가?,1,"1999,2007"
건설업,"수중, 해상공사",빠짐익사,구명장구의 이상 유무를 작업 전에 확인하고 손상된 장구는 즉시 교체하고 있는가?,7,"2307,2305"
건설업,"수중, 해상공사",빠짐익사,수중작업 전에 잠수기구의 송기관(공기호스) 연결부를 점검하여 이상 유무를 확인하고 있는가?,6,"2305,2306"
건설업,"수중, 해상공사",빠짐익사,수중작업 시 작업자와의 연락을 담당하는 감시자를 배치하여 안전방호조치를 실시하고 있는가?,6,"2293,2294"
건설업,"수중, 해상공사",빠짐익사,"수중작업자에게 비상 연락용구(신호줄, 무전기 등)를 지급하고 사용방법을 교육하고 있는가?",6,"2276,2275"
건설업,"수중, 해상공사",빠짐익사,"수중작업 중 이상 징후(거품 과다 발생, 신호 두절 등)를 감시하고 즉시 대응할 수 있는 체계가 구축되어 있는가?",6,"2307,2305"
건설업,부대 토목 작업,떨어짐,2m 이상의 높이에서 작업하는 모든 장소에 안전난간(2단)이 견고하게 설치되어 있는가?,6,"1487,1486"
건설업,부대 토목 작업,떨어짐,"안전난간이 설치되지 않은 경우, 근로자가 안전대를 착용하고 안전대 부착설비에 연결하여 작업하고 있는가?",6,"1486,1489"
건설업,부대 토목 작업,떨어짐,추락 위험이 있는 장소에서 작업하는 모든 근로자에게 안전모를 포함한 개인보호구를 지급하고 착용하도록 하고 있는가?,6,"1462,1486"
건설업,부대 토목 작업,떨어짐,법면 상부 및 소단부에서 근로자의 불필요한 이동을 금지하고 작업자 이동통로를 설치하고 있는가?,5,"1486,1998"
건설업,부대 토목 작업,떨어짐,"절토사면, 옹벽 단부 등 추락 위험이 있는 상부에서 부득이하게 작업할 경우, 안전난간 설치가 곤란하면 접근방책을 설치하고 있는가?",5,"1979,1487"
건설업,부대 토목 작업,무너짐,"옹벽 설치를 위한 굴착 시 구조물에 근접한 장소에서 붕괴 위험 요인을 보강하거나 이설, 제거 등의 위험 방지 조치를 실시하였는가?",5,"1969,1956,1999"
건설업,부대 토목 작업,무너짐,"굴착작업 전에 지반점검을 실시하고 근로자 출입 통제, 사면보강, 방호망 설치 등의 안전조치를 취하였는가?",4,"1969,1955,1999"
건설업,부대 토목 작업,무너짐,굴착면의 토층이 균일하지 않은 경우 흙막이 가시설을 설치한 후 작업을 수행하고 있는가?,4,"1969,1966,1345"
건설업,부대 토목 작업,무너짐,"굴착사면의 기울기가 설계기준을 준수하고 있으며, 굴착사면 인근에 중량물이나 토사가 적치되어 있지는 않은가?",4,"1969,1956,1339"
건설업,부대 토목 작업,무너짐,"옹벽 상부 및 천단 인근에 중량물, 토사, 자재 등이 적치되어 있지는 않은가?",3,"1969,1966"
건설업,부대 토목 작업,깔림.뒤집힘,건설기계 작업 구역에서 근로자 출입을 통제하고 유도자를 배치하여 근로자와 장비의 동선을 분리하였는가?,3,"1964,1962"
건설업,부대 토목 작업,깔림.뒤집힘,중량물 인양 및 운반 작업 시 작업계획서를 작성하고 적합한 건설장비를 선정하여 계획에 따라 작업을 진행하였는가?,3,1767
건설업,부대 토목 작업,깔림.뒤집힘,"건설기계(굴삭기, 덤프트럭 등) 작업 시 후방 경보기, 후방센서, 카메라 등 안전장치가 정상 작동하는지 점검하였는가?",2,"2104,1575"
건설업,부대 토목 작업,깔림.뒤집힘,굴삭기의 정격하중을 초과하는 중량물을 인양하지 않도록 작업 전 자재 무게를 확인하고 운전원에게 지시하였는가?,2,"1962,1969"
건설업,부대 토목 작업,깔림.뒤집힘,건설기계 운전원이 후진 작업 시 뒤를 직접 확인하거나 유도자의 신호에 따라 작업하도록 지시하였는가?,2,"1964,1731"
건설업,가설도로 작업,깔림.뒤집힘,벌목 작업 전에 절단 대상 수목의 수구작업(밑둥 정리)을 실시하고 있는가?,2,2044
건설업,가설도로 작업,깔림.뒤집힘,벌도목이 쓰러지는 방향을 사전에 파악하고 그 방향을 위험구역으로 설정하여 접근을 금지하고 있는가?,2,2044
건설업,가설도로 작업,깔림.뒤집힘,벌목 작업 시 근로자들이 대피할 수 있는 대피로와 대피장소를 사전에 지정하고 있는가?,2,"2067,1973"
건설업,가설도로 작업,깔림.뒤집힘,벌목 작업 시 근로자 간 신호방법을 사전에 정하고 이를 준수하고 있는가?,2,"2046,2047"
건설업,가설도로 작업,깔림.뒤집힘,"벌목 작업에 종사하는 모든 근로자에게 개인 보호구(안전모, 안전복 등)를 지급하고 착용을 철저히 하고 있는가?",2,"1462,1463"
건설업,가설도로 작업,떨어짐,가설도로 작업 시 작업자의 추락·전도 위험에 대비하여 안전벨트 등 개인보호구를 지급하고 착용을 철저히 하고 있는가?,2,"1462,1486,1483"
건설업,가설도로 작업,떨어짐,"가설도로의 지반 상태를 정기적으로 점검하여 부등침하, 갓길 붕괴, 도로 폭 유지 상태를 확인하고 있는가?",1,"1969,1999,1370"
건설업,가설도로 작업,떨어짐,협소하거나 곡선인 가설도로에서 차량계 건설기계 운행 시 장비유도자를 배치하고 있는가?,1,"1733,1964,1697"
건설업,가설도로 작업,떨어짐,"건설기계(진동 롤러, 덤프트럭 등) 대여 및 사용 전에 브레이크, 클러치, 유압유 누출, 레버 스위치 등 안전장치의 정상작동 여부를 점검하고 있는가?",1,"2104,1962,1575"
건설업,가설도로 작업,떨어짐,"건설기계 운전자가 작업 중 안전벨트를 착용하고 있으며, 장비 운행 중 불필요한 자리이탈을 금지하고 있는가?",1,"1721,1548,1734"
건설업,맨홀 및 관부설작업,무너짐,"굴착하부에서 작업할 때 낙하물(토사, 암석 등)을 방지하기 위한 개인보호장비(안전모 등)를 착용하고 있는가?",11,1487
건설업,맨홀 및 관부설작업,무너짐,"굴착 작업 시 굴착면의 기울기 기준을 준수하고 있으며, 수직 굴착을 하지 않고 있는가?",10,1956
건설업,맨홀 및 관부설작업,무너짐,토층이 균일하지 않은 경우 간이 흙막이(TS판넬 등)를 설치한 후 작업을 수행하고 있는가?,10,1969
건설업,맨홀 및 관부설작업,무너짐,굴착사면 인근에 중량물이나 토사를 적치하지 않고 있는가?,10,1969
건설업,맨홀 및 관부설작업,무너짐,깊이 1.5m 이상의 굴착 작업에서 흙막이 시설을 설치하고 있는가?,10,1969
건설업,맨홀 및 관부설작업,깔림.뒤집힘,굴삭기 또는 덤프트럭 등 차량계 건설기계 작업 시 전담 유도자를 배치하여 근로자와의 접촉을 방지하고 있는가?,8,"1964,1731"
건설업,맨홀 및 관부설작업,깔림.뒤집힘,"굴삭기의 후진 작업 시 후방카메라, 후방센서, 경보장치 등 안전장치가 부착되어 있고 정상 작동하는가?",6,1733
건설업,맨홀 및 관부설작업,깔림.뒤집힘,"관로 부설 작업 중 굴삭기의 되메우기, 다짐작업과 근로자의 정리·청소작업이 동시에 수행되지 않도록 관리하고 있는가?",4,1964
건설업,맨홀 및 관부설작업,깔림.뒤집힘,굴삭기를 사용하여 중량물을 인양·운반할 때 작업 장소 내 근로자의 출입을 통제하고 있는가?,3,"1964,1656"
건설업,맨홀 및 관부설작업,깔림.뒤집힘,"맨홀, 관로, 철판 등 중량물을 굴삭기로 인양할 때 굴삭기의 정격하중을 확인하고 초과하지 않도록 관리하고 있는가?",2,1969
건설업,맨홀 및 관부설작업,물체에맞음,굴삭기를 이용한 관로 운반 및 부설 작업 시 현장에 유도자(신호수)를 배치하고 있는가?,4,1964
건설업,맨홀 및 관부설작업,물체에맞음,"중량물(관로, 맨홀 구조물 등)을 양중할 때 슬링벨트의 이중 잠금장치(안전핀 등)를 체결하고 있는가?",4,1687
건설업,맨홀 및 관부설작업,물체에맞음,굴삭기 작업 중 근로자가 작업 구간에 동시에 진입하는 것을 금지하고 있는가?,3,"2039,1964"
건설업,맨홀 및 관부설작업,물체에맞음,중량물 취급 시 작업지휘자 및 신호수를 배치하고 있는가?,3,"2005,1964"
건설업,맨홀 및 관부설작업,물체에맞음,관로를 굴삭기로 운반할 때 관로의 회전 방지 및 슬링벨트 이탈 방지를 위해 두줄걸이를 시행하고 있는가?,3,"1687,2042"
건설업,"철거, 해체",떨어짐,지붕 위에서의 철거 작업 시 안전대 부착설비를 설치하고 근로자가 안전대를 체결하도록 관리감독하고 있는가?,15,"1486,1712"
건설업,"철거, 해체",떨어짐,"지붕 위에서 철거 작업 시 노후화되거나 강도가 약한 지붕재(선라이트, 슬레이트, 샌드위치판넬 등)를 밟지 않도록 충분한 강도의 지붕사다리를 설치하였는가?",12,1491
건설업,"철거, 해체",떨어짐,지붕 위에서의 철거 작업 시 추락방호망을 설치하여 추락 시 충격을 완화하도록 하였는가?,12,1491
건설업,"철거, 해체",떨어짐,지붕 철거 작업 대신 고소작업대나 이동식 비계 등 안전한 작업 방법을 검토하여 적용하고 있는가?,7,"1712,1713"
건설업,"철거, 해체",떨어짐,"노후화되거나 강도가 약한 지붕재로 덮힌 지붕에서 작업할 때 날씨 조건(비, 눈 등)으로 인한 미끄러짐 위험을 사전에 평가하고 대책을 수립하였는가?",5,"1491,1499"
건설업,"철거, 해체",무너짐,"철거 작업 전에 구조물의 형상, 중량, 안정성 등을 고려한 구조검토를 실시하고 이에 따른 해체방법 및 순서가 포함된 작업계획서를 수립했는가?",8,"2017,1969"
건설업,"철거, 해체",무너짐,작업층 하부에 구조상 충분한 개수의 잭서포트를 적정 개소에 설치하여 보강했는가?,7,1969
건설업,"철거, 해체",무너짐,"콘크리트 슬라브의 균열, 강도, 철근 배근상태, 노후정도 등 안정성을 사전에 검토했는가?",7,"1969,1499"
건설업,"철거, 해체",무너짐,벽체 철거 작업 시 작업반경 내에 다른 근로자의 출입을 금지하고 통제했는가?,5,"2016,2039"
건설업,"철거, 해체",무너짐,벽체 철거 작업 시 상부에서 하부로 순차적으로 파쇄하는 방식으로 작업을 실시했는가?,3,"1969,2016"
건설업,"철거, 해체",절단베임찔림,고소작업(2m 이상) 시 안전대를 지급하고 근로자가 실제로 착용하고 있는지 확인 및 관리감독하고 있는가?,7,"1462,1489,1486"
건설업,"철거, 해체",절단베임찔림,"추락 위험이 있는 개구부, 슬라브 단부, 발코니 등에 안전난간대 또는 추락방지망을 설치하였는가?",4,"1487,1495,1943"
건설업,"철거, 해체",절단베임찔림,"고소작업 시 불안정한 양중기(크레인 작업대) 대신 고소작업대, 이동식비계 등 안정적인 작업발판을 배치하여 사용하고 있는가?",3,"1712,1713,1486"
건설업,"철거, 해체",절단베임찔림,크레인으로 자재를 인양할 때 작업반경 내 근로자의 출입을 통제하고 있는가?,3,"1767,1964,1487"
건설업,"철거, 해체",절단베임찔림,"크레인 인양 작업 시 인양물의 재료, 형상에 맞는 적절한 줄걸이 방법을 사용하고 있는가?",3,1767
건설업,안전가시설 작업,물체에맞음,"추락 위험이 있는 높이 2m 이상의 작업 시 안전대 부착설비, 추락방호망, 안전난간 등의 추락방호조치를 실시하고 있는가?",9,"1489,1487,1950"
건설업,안전가시설 작업,물체에맞음,"작업 시작 전 안전대 부착설비의 설치 상태를 확인하고, 근로자에게 안전대를 지급하여 체결 상태를 관리하고 있는가?",8,"1489,1712"
건설업,안전가시설 작업,물체에맞음,낙하물방지망 또는 추락방호망 설치·해체 작업 시 상부로부터 하부로 순차적으로 진행하는 작업방식을 준수하고 있는가?,5,"1950,1713,1487"
건설업,안전가시설 작업,물체에맞음,낙하물방지망 설치 작업 중 안전대를 미착용한 근로자가 작업하지 않도록 관리감독하고 있는가?,5,"1575,1723"
건설업,안전가시설 작업,물체에맞음,"이동식크레인 사용 시 작업 시작 전 와이어로프, 안전장치 등의 설치 및 작동상태를 확인하고 있는가?",2,"1645,243"
건설업,안전가시설 작업,떨어짐,"2m 이상 높이에서 작업하는 근로자가 안전대를 착용하고 있으며, 안전대 부착설비가 설치되어 있는가?",9,"1489,1486"
건설업,안전가시설 작업,떨어짐,"2m 이상 높이의 개구부(바닥개구부, 창호개구부 등)에 안전난간대 또는 추락방호망이 설치되어 있는가?",8,"1487,1495"
건설업,안전가시설 작업,떨어짐,비계 작업발판의 단부에 안전난간 또는 안전방망이 설치되어 있는가?,6,"1518,1511,1521"
건설업,안전가시설 작업,떨어짐,개구부 덮개가 뒤집히거나 떨어지지 않도록 견고하게 고정되어 있는가?,5,"1487,1943"
건설업,안전가시설 작업,떨어짐,"청소, 자재운반 등 일시적 작업 시에도 추락위험 장소에 대한 안전조치(난간, 방망, 안전대 등)가 적용되고 있는가?",4,"1487,1489,2068"
건설업,안전가시설 작업,감전,가공전로(22.9kV 이상) 인근에서 비계 해체 작업을 수행하기 전에 전력회사에 가공전로 차단 또는 이설을 요청하였는가?,6,1920
건설업,안전가시설 작업,감전,"비계 해체 작업 시 절연장갑, 절연화, 안전작업복, AE형 안전모 등 절연용 안전보호구를 모든 작업자에게 지급하고 착용 상태를 관리하고 있는가?",6,"1462,1463"
건설업,안전가시설 작업,감전,"비계 해체 작업 현장에서 가공전로까지의 이격거리를 사전에 측정하고, 안전거리(22.9kV 기준 최소 3m 이상) 확보 여부를 확인하였는가?",6,
건설업,안전가시설 작업,감전,"비계 해체 작업 전에 현장 내 모든 가공전로의 위치, 전압, 충전 상태를 파악하고 작업자에게 교육하였는가?",6,1904
건설업,안전가시설 작업,감전,비계 작업 중 감전으로 인한 추락 위험에 대비하여 안전대 착용 및 추락방지 시설을 설치하였는가?,6,"1489,1487"
건설업,가설전기 작업,떨어짐,고소작업 시 안전대 착용 여부를 주기적으로 점검하고 관리감독하고 있는가?,4,"1489,1486"
건설업,가설전기 작업,떨어짐,"높이 2m 이상의 작업장에서 개인보호구(안전대, 헬멧 등) 착용 여부를 작업 전 확인하고 있는가?",4,"1489,1462"
건설업,가설전기 작업,떨어짐,현장에서 고소작업(2m 이상) 시 안전대를 항상 착용하고 있는가?,3,"1489,1950"
건설업,가설전기 작업,떨어짐,"가설전선 작업, 전등 교체 등 고소작업 시 작업자의 신체 안정성을 확보할 수 있는 작업방법을 수립하고 있는가?",3,"1905,1914,1486"
건설업,가설전기 작업,떨어짐,"작업 발판, 가설계단, 지붕 등 이동통로 상의 장애물(전선, 자재 등)이 제거되어 있는가?",2,"1450,1487"
건설업,양중기 작업,떨어짐,"타워크레인 설치, 해체 작업 시 2중 안전고리를 체결하고 있는가?",5,"1950,1740"
건설업,양중기 작업,떨어짐,타워크레인 텔레스코핑 케이지 작업발판의 연결 및 고정상태를 정기적으로 점검하고 있는가?,3,"1946,1652"
건설업,양중기 작업,떨어짐,추락 위험이 있는 높이에서 작업할 때 안전대를 체결하도록 조치하고 있는가?,3,"1489,1487"
건설업,양중기 작업,떨어짐,추락 및 재해 방지에 관한 안전대 결합 등의 내용을 포함하는 안전교육을 정기적으로 실시하고 있는가?,3,"2528,853"
건설업,양중기 작업,떨어짐,"타워크레인 설치, 해체 작업을 수행하는 작업자가 유자격자인지 확인하고 있는가?",2,1645
건설업,양중기 작업,물체에맞음,"양중기 작업 시 부품, 부재, 인양물의 고정 상태를 작업 전에 철저히 점검하고 있는가?",4,"2104,2136,2021"
건설업,양중기 작업,물체에맞음,"양중기 및 고소작업 시 낙하물 방지망, 안전난간대 등 물체에 맞음 사고를 예방하기 위한 안전방호조치를 실시하고 있는가?",4,"2055,2053,1723"
건설업,양중기 작업,물체에맞음,"양중기 작업을 수행하는 근로자가 유자격자이며, 제조사의 작업 매뉴얼을 준수하고 있는가?",3,"1767,1658,1766"
건설업,양중기 작업,물체에맞음,고소 작업 시 근로자의 추락을 방지하기 위해 안전대 부착설비를 설치하고 안전대 착용을 철저히 하고 있는가?,3,"1489,1486,1712"
건설업,양중기 작업,물체에맞음,양중기 작업 중 낙하물로 인한 위험으로부터 근로자를 보호하기 위해 작업 구역 아래 근로자 출입을 통제하고 있는가?,2,"1435,1767,1973"
건설업,양중기 작업,무너짐,타워크레인/크레인 설치 및 해체 작업 시 제조사 매뉴얼에 따른 정확한 절차와 순서를 수립하고 작업자에게 교육했는가?,3,"1476,1678,1671"
건설업,양중기 작업,무너짐,"마스트 인상/하강 작업 시 서포트 슈, 러그, 메인 슈의 고정상태와 안전핀 체결 여부를 작업 전 확인했는가?",2,"1507,1740,2104"
건설업,양중기 작업,무너짐,텔레스코핑 작업 중 상부 구조물의 균형 상실을 방지하기 위해 슬라이더 크로스 잠금장치를 철저히 체결했는가?,2,"1742,1993,1964"
건설업,양중기 작업,무너짐,"크레인 부재 간 연결부(볼트, 용접부)의 노후화, 변형, 파손, 용접불량 여부를 사전에 점검했는가?",2,"1969,2104,2136"
건설업,양중기 작업,무너짐,"고소 작업 중 작업자가 안전대를 착용하고 있으며, 안전대 결합 유무를 확인했는가?",2,"1489,1486,1462"
건설업,"위험기계기구 작업(장비수리, 이동 등)",깔림.뒤집힘,"차량계 건설기계(굴삭기, 지게차, 크레인 등) 운행 시 유도자를 배치하고 있는가?",2,"1733,1964"
건설업,"위험기계기구 작업(장비수리, 이동 등)",깔림.뒤집힘,차량계 건설기계에 후방카메라 등 접촉방지 장비가 설치되어 있는가?,2,"1731,251"
건설업,"위험기계기구 작업(장비수리, 이동 등)",깔림.뒤집힘,차량계 건설기계 운행경로와 별도의 근로자 안전 통로가 설치되어 있는가?,2,"1731,2066"
건설업,"위험기계기구 작업(장비수리, 이동 등)",깔림.뒤집힘,크롤러 크레인 붐 해체 및 연결핀 제거 작업 시 안전지지대 또는 안전블럭이 설치되어 있는가?,2,1950
건설업,"위험기계기구 작업(장비수리, 이동 등)",깔림.뒤집힘,크롤러 크레인 작업 시 운전자와 근로자 간 신호방법이 정해져 있고 준수되고 있는가?,2,"1675,2059"
건설업,"위험기계기구 작업(장비수리, 이동 등)",끼임,근로자가 차량계 하역운반기계 주변에서 작업할 때 기계 운전자와 작업자 간 안전거리를 유지하도록 지도했는가?,4,"1731,1732"
건설업,"위험기계기구 작업(장비수리, 이동 등)",끼임,"이동식크레인, 지게차 등 차량계 하역운반기계를 사용하여 작업할 때 사전에 작업계획서를 작성하고 검토했는가?",3,1476
건설업,"위험기계기구 작업(장비수리, 이동 등)",끼임,차량계 하역운반기계 운전자의 시야를 확보하기 위해 유도자를 배치하거나 후방카메라 등 접촉방지조치를 실시했는가?,2,"1732,1694,2059"
건설업,"위험기계기구 작업(장비수리, 이동 등)",끼임,지게차 포크에 화물을 적재할 때 운전자의 전방 시야가 확보되도록 화물의 높이와 위치를 조정했는가?,2,"1705,1697"
건설업,"위험기계기구 작업(장비수리, 이동 등)",끼임,적재함이나 인양장비를 상승시킨 상태에서 하부 점검 작업 시 안전지주(받침대)를 설치하여 불시하강을 방지했는가?,1,
건설업,"위험기계기구 작업(장비수리, 이동 등)",부딪힘,"차량계 건설기계(덤프트럭, 지게차 등)에 대한 정기검사 및 체계적인 점검·정비가 실시되고 있는가?",3,"2104,2136,243"
건설업,"위험기계기구 작업(장비수리, 이동 등)",부딪힘,"경사로, 터널 등 제한된 공간에서 차량계 건설기계 운행 시 유도자를 배치하여 안전 유도를 실시하고 있는가?",2,"1962,1964,2005"
