sif_id	industry_div	accident_kind	accident_summary	causal_object	high_risk_situation	causal_factor	countermeasure	content
11	제조업등	\N	2016년 1월경 OO사업장 내에서 재해자가 출근 중 이동하던 지게차와 충돌하여 사망	지게차	지게차 사용 작업	『근로자와 작업차량(하역운반기계 또는 건설기계 포함) 간 이동동선(통행로)를 구분하지 않은 상태』에서 근로자가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 차량사이에 끼임 위험	▶ 통로를 설치하고 항상 사용가능한 상태로 유지\n▶ 운전자의 시야를 가리지 않도록 화물을 적재\n▶ 지게차 등의 건설기계를 사용하여 행하는 작업은 관련 면허를 가진 자만 수행	2016년 1월경 OO사업장 내에서 재해자가 출근 중 이동하던 지게차와 충돌하여 사망 [유발요인] 『근로자와 작업차량(하역운반기계 또는 건설기계 포함) 간 이동동선(통행로)를 구분하지 않은 상태』에서 근로자가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 차량사이에 끼임 위험 [대책] ▶ 통로를 설치하고 항상 사용가능한 상태로 유지 ▶ 운전자의 시야를 가리지 않도록 화물을 적재 ▶ 지게차 등의 건설기계를 사용하여 행하는 작업은 관련 면허를 가진 자만 수행
12	제조업등	\N	2021년 7월 비료공장에서 재해자가 천장크레인(2.8톤)을 이용하여 원료가 든 톤백마대를 인양하여 호퍼에 투입하는 작업 중 마대의 고리가 파손되면서 마대가 재해자쪽으로 넘어오면서 마대와 마대 거치대 프레임 사이에 끼임	줄걸이기구(톤백 끈)	크레인(천장주행, 갠트리, 지브 등) 사용 작업	『줄걸이 기구의 용접 불량, 마모, 변형, 손상, 파단』으로 인해 운반하는 화물의 낙하·전도·비래 등으로 인한 위험	▶ 외부마모 등 손상되거나 파단된 운반고리 상태 점검 및 사용 금지\n▶ 톤백마대 봉합부분 제거작업에 대한 안전조치 실시	2021년 7월 비료공장에서 재해자가 천장크레인(2.8톤)을 이용하여 원료가 든 톤백마대를 인양하여 호퍼에 투입하는 작업 중 마대의 고리가 파손되면서 마대가 재해자쪽으로 넘어오면서 마대와 마대 거치대 프레임 사이에 끼임 [유발요인] 『줄걸이 기구의 용접 불량, 마모, 변형, 손상, 파단』으로 인해 운반하는 화물의 낙하·전도·비래 등으로 인한 위험 [대책] ▶ 외부마모 등 손상되거나 파단된 운반고리 상태 점검 및 사용 금지 ▶ 톤백마대 봉합부분 제거작업에 대한 안전조치 실시
241	제조업등	\N	2017년 2월경 OO사업장 고무 성형공정에서 재해자가 공정 점검 중 이동하는 설비와 구조물 사이에 끼여 사망	자동화설비	작업장소 통행·이동	『설비를 정지시키지 않거나 전원을 차단하지 않은 상태에서 정비·보수·청소·교체·조정·점검 등의 작업』 중 사고 위험	▶ 끼임 위험구간에 덮개 또는 울 설치\n▶ 점검·청소·정비 작업 시 해당기계 운전 정지	2017년 2월경 OO사업장 고무 성형공정에서 재해자가 공정 점검 중 이동하는 설비와 구조물 사이에 끼여 사망 [유발요인] 『설비를 정지시키지 않거나 전원을 차단하지 않은 상태에서 정비·보수·청소·교체·조정·점검 등의 작업』 중 사고 위험 [대책] ▶ 끼임 위험구간에 덮개 또는 울 설치 ▶ 점검·청소·정비 작업 시 해당기계 운전 정지
13	제조업등	\N	2016년 2월경 OO사업장 입출고장에서 재하자가 제품 점검 중 인근에서 작업중이던 로우더의 뒷바퀴에 깔려 사망 	건설기계(로더)	혼재작업(작업자-작업차량)	근로자와 작업차량 간 『혼재작업 장소에서 근로자 이동과 작업차량(하역운반기계 또는 건설기계 포함) 운행을 통제하지 않은 상태』에서 근로자(차량 포함)가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 작업차량 사이에 끼임 등으로 인한 위험	▶ 차량계 건설기계를 사용하여 작업을 하는 경우에는 근로자 출입금지\n▶ 차량계 건설기계 작업계획서 작성 및 준수\n▶ 차량계 건설기계 면허 소지 및 교육 이수	2016년 2월경 OO사업장 입출고장에서 재하자가 제품 점검 중 인근에서 작업중이던 로우더의 뒷바퀴에 깔려 사망 [유발요인] 근로자와 작업차량 간 『혼재작업 장소에서 근로자 이동과 작업차량(하역운반기계 또는 건설기계 포함) 운행을 통제하지 않은 상태』에서 근로자(차량 포함)가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 작업차량 사이에 끼임 등으로 인한 위험 [대책] ▶ 차량계 건설기계를 사용하여 작업을 하는 경우에는 근로자 출입금지 ▶ 차량계 건설기계 작업계획서 작성 및 준수 ▶ 차량계 건설기계 면허 소지 및 교육 이수
14	제조업등	\N	2020년 11월경 OO사업장 제품하역장에서 재해자가 화물트럭으로 운반한 비료를 하역하는 중 트럭과 설비사이에 끼어 사망	화물운반트럭(카고트럭)	혼재작업(작업자-작업차량)	근로자와 작업차량 간 『혼재작업 장소에서 근로자 이동과 작업차량(하역운반기계 또는 건설기계 포함) 운행을 통제하지 않은 상태』에서 근로자(차량 포함)가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 작업차량 사이에 끼임 등으로 인한 위험	▶ 운전위치 이탈 시 차량 이탈방지 조치 실시\n▶ 사전조사 실시 및 작업계획 근로자에게 주지	2020년 11월경 OO사업장 제품하역장에서 재해자가 화물트럭으로 운반한 비료를 하역하는 중 트럭과 설비사이에 끼어 사망 [유발요인] 근로자와 작업차량 간 『혼재작업 장소에서 근로자 이동과 작업차량(하역운반기계 또는 건설기계 포함) 운행을 통제하지 않은 상태』에서 근로자(차량 포함)가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 작업차량 사이에 끼임 등으로 인한 위험 [대책] ▶ 운전위치 이탈 시 차량 이탈방지 조치 실시 ▶ 사전조사 실시 및 작업계획 근로자에게 주지
15	제조업등	\N	2022년 4월경 OO기계의 재해자가 농후퇴비에 설치된 비료 교반기의 상부축기어를 교체하기 위해 교반기 상부대차에 올라서서 작업하던 중 추락하여 사망	생산설비(교반기)	비정형 작업(정비·수리·교체·조정)	『안전대 체결 등 추락방지조치를 하여야 하는 장소』에서 작업 중 떨어짐 위험	▶ 고소 작업 관련 안전조치 수립 및 이행 철저\n▶ 안전 작업 절차 수립 및 이행 철저	2022년 4월경 OO기계의 재해자가 농후퇴비에 설치된 비료 교반기의 상부축기어를 교체하기 위해 교반기 상부대차에 올라서서 작업하던 중 추락하여 사망 [유발요인] 『안전대 체결 등 추락방지조치를 하여야 하는 장소』에서 작업 중 떨어짐 위험 [대책] ▶ 고소 작업 관련 안전조치 수립 및 이행 철저 ▶ 안전 작업 절차 수립 및 이행 철저
16	제조업등	\N	2023년 1월경 OO사업장에서 재해자가 사업장 지붕의 누수 구간을 실리콘으로 보수 작업 하던 중, 밟았던 지붕재가 파손되면서 공장 내부의 콘크리트 바닥으로 추락(H≒7.2m)하여 사망	지붕·대들보(샌드위치판넬)	지붕, 천장 등 위에서 작업	『밟고 있던 구조물(또는 자재) 등의 파손·탈락 등』으로 넘어지거나 떨어짐 위험	▶ 지붕 위에서의 위험방지조치 실시\n▶ 개인보호구(안전모, 안전대 등) 지급 및 착용	2023년 1월경 OO사업장에서 재해자가 사업장 지붕의 누수 구간을 실리콘으로 보수 작업 하던 중, 밟았던 지붕재가 파손되면서 공장 내부의 콘크리트 바닥으로 추락(H≒7.2m)하여 사망 [유발요인] 『밟고 있던 구조물(또는 자재) 등의 파손·탈락 등』으로 넘어지거나 떨어짐 위험 [대책] ▶ 지붕 위에서의 위험방지조치 실시 ▶ 개인보호구(안전모, 안전대 등) 지급 및 착용
17	제조업등	\N	2016년 9월경 OO사업장 고체연료 개발 공정에서 재해자가 실험 과정 중 혼합된 물질에서 폭발 및 화재가 발생하여 사망	인화성물질	위험물질 취급 또는 그 장소에서 작업	『설비의 위험물질을 파악 및 제거·차단하지 않은 상태』에서 작업하여 화재·폭발·누출·접촉 등으로 인한 위험	▶ 통풍 · 환기등의 조치\n▶ 비도전성 물질(Spatula 등)을 도전성 재료로 사용하고 접지체와 등전위 본딩을 실시\n▶ 도전성 바닥 및 정전기 대전 방지용 신발 착용, 개인용 접지 장치 사용	2016년 9월경 OO사업장 고체연료 개발 공정에서 재해자가 실험 과정 중 혼합된 물질에서 폭발 및 화재가 발생하여 사망 [유발요인] 『설비의 위험물질을 파악 및 제거·차단하지 않은 상태』에서 작업하여 화재·폭발·누출·접촉 등으로 인한 위험 [대책] ▶ 통풍 · 환기등의 조치 ▶ 비도전성 물질(Spatula 등)을 도전성 재료로 사용하고 접지체와 등전위 본딩을 실시 ▶ 도전성 바닥 및 정전기 대전 방지용 신발 착용, 개인용 접지 장치 사용
18	제조업등	\N	2015년 12월경 OO사업장 최루 연막탄 제조공정에서 재해자가 원료 혼합 작업 중 화재가 발생하여 화상을 입음	인화성물질	위험물질 취급 또는 그 장소에서 작업	『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험	▶ 분진의 외부누출 방지 조치\n▶ 운전절차서에 분진 제거절차 반영\n▶ 정전기 제거 및 완화조치 시행	2015년 12월경 OO사업장 최루 연막탄 제조공정에서 재해자가 원료 혼합 작업 중 화재가 발생하여 화상을 입음 [유발요인] 『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험 [대책] ▶ 분진의 외부누출 방지 조치 ▶ 운전절차서에 분진 제거절차 반영 ▶ 정전기 제거 및 완화조치 시행
19	제조업등	\N	2018년 1월경 OO사업장 화약류 제조공정에서 재해자가 제조중인 화약을 운반하는 중 화재가 발생하여 화상을 입음	화학물질(화약)	위험물질 취급 또는 그 장소에서 작업	『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험	▶ 위험물질 취급 시 가열·마찰·충격 행위 금지\n▶ 정전기 대전방지 및 제전조치 실시\n▶ 취급물질 유해·위험특성 파악 철저 및 작업자 교육 실시	2018년 1월경 OO사업장 화약류 제조공정에서 재해자가 제조중인 화약을 운반하는 중 화재가 발생하여 화상을 입음 [유발요인] 『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험 [대책] ▶ 위험물질 취급 시 가열·마찰·충격 행위 금지 ▶ 정전기 대전방지 및 제전조치 실시 ▶ 취급물질 유해·위험특성 파악 철저 및 작업자 교육 실시
20	제조업등	\N	2018년 4월경 OO사업장 추진체 제조공정에서 재해자가 혼합기에 원료를 투입하는 중 내부에서 급격하게 화재가 발생하여 다수의 근로자가 사망	화학물질(추진체)	위험물질 취급 또는 그 장소에서 작업	『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험	▶ 위험물질 사용 시 안전조치 실시\n▶ 추진제 충전작업 중 설비 및 운전방법 변경\n▶ 설비 관리기준 마련	2018년 4월경 OO사업장 추진체 제조공정에서 재해자가 혼합기에 원료를 투입하는 중 내부에서 급격하게 화재가 발생하여 다수의 근로자가 사망 [유발요인] 『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험 [대책] ▶ 위험물질 사용 시 안전조치 실시 ▶ 추진제 충전작업 중 설비 및 운전방법 변경 ▶ 설비 관리기준 마련
21	제조업등	\N	2019년 2월경 OO사업장 추진체 제조공정에서 재해자가 추진체 제조 중 점화되어 폭발이 발생하여 다수의 근로자가 사망	인화성물질	위험물질 취급 또는 그 장소에서 작업	『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험	▶ 화재·폭발 가능성이 있는 물질을 마찰시키는 행위 금지\n▶ 공정 설비의 이상 발견에 따른 수리 요청시 관련 문제로 인해 사고가 발생하지 않도록 철저히 수리하여 사용\n▶ 안전성에 관련된 물성자료를 확보하여 안전작업 절차에 반영하고 해당 근로자에게 교육	2019년 2월경 OO사업장 추진체 제조공정에서 재해자가 추진체 제조 중 점화되어 폭발이 발생하여 다수의 근로자가 사망 [유발요인] 『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험 [대책] ▶ 화재·폭발 가능성이 있는 물질을 마찰시키는 행위 금지 ▶ 공정 설비의 이상 발견에 따른 수리 요청시 관련 문제로 인해 사고가 발생하지 않도록 철저히 수리하여 사용 ▶ 안전성에 관련된 물성자료를 확보하여 안전작업 절차에 반영하고 해당 근로자에게 교육
22	제조업등	\N	2020년 6월경 OO사업장 화약 제품 제조공정에서 재해자가 제품 점검 중 폭발이 발생하여 다수의 근로자가 부상을 입음	화학물질(화약)	위험물질 취급 또는 그 장소에서 작업	『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험	▶ 장비 신규 도입 및 공정변경에 따른 위험성검토 철저\n▶ 안전운전(작업)절차서 등 사내 표준문서 개정 및 작업관리 철저\n▶ 작업 근로자에 대한 교육을 철저	2020년 6월경 OO사업장 화약 제품 제조공정에서 재해자가 제품 점검 중 폭발이 발생하여 다수의 근로자가 부상을 입음 [유발요인] 『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험 [대책] ▶ 장비 신규 도입 및 공정변경에 따른 위험성검토 철저 ▶ 안전운전(작업)절차서 등 사내 표준문서 개정 및 작업관리 철저 ▶ 작업 근로자에 대한 교육을 철저
23	제조업등	\N	2022년 8월경 OO사업장의 화공품 생산팀 성형공실에서 재해자가 프레스를 이용하여 점화제 파우더를 성형하는 작업 중 폭발이 발생하여 부상	화학물질	위험물질 취급 또는 그 장소에서 작업	『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험	▶ 산화성 물질 취급 시 안전한 작업방법 사용\n▶ 사업장 작업표준 보완\n▶ 위험성평가 시 유해위험요인 추가	2022년 8월경 OO사업장의 화공품 생산팀 성형공실에서 재해자가 프레스를 이용하여 점화제 파우더를 성형하는 작업 중 폭발이 발생하여 부상 [유발요인] 『작업장소에서 취급하는 위험물질 및 관리되지 않는 점화원(아크, 정전기 등)』으로 인해 화재·폭발 위험 [대책] ▶ 산화성 물질 취급 시 안전한 작업방법 사용 ▶ 사업장 작업표준 보완 ▶ 위험성평가 시 유해위험요인 추가
24	제조업등	\N	2020년 3월경 OO사업장 폐기물 처리공정에서 재해자가 굴삭기 후미에서 폐기물 처리작업을 지켜보는 중 후진하는 굴삭기에 부딪혀 사망	굴착기(백호우)	건설기계 사용 작업	『차량(하역운반기계 또는 건설기계 포함)작업구역에서 출입통제 미실시』로 근로자(차량포함)가 작업차량 또는 운반하는 화물에 부딪히거나 깔림 또는 주변 구조물과 그 사이에 끼임 위험	▶ 굴삭기를 작업시에는 근로자가 출입이 불가하도록 작업반경내 출입금지조치\n▶ 무면허자의 운전 금지\n▶ 굴삭기 등 차랑계 건설기계를 이용하여 작업시에는 운행경로 및 작업방법 등이 포함된 안전대책에 대한 작업계획서를 작성	2020년 3월경 OO사업장 폐기물 처리공정에서 재해자가 굴삭기 후미에서 폐기물 처리작업을 지켜보는 중 후진하는 굴삭기에 부딪혀 사망 [유발요인] 『차량(하역운반기계 또는 건설기계 포함)작업구역에서 출입통제 미실시』로 근로자(차량포함)가 작업차량 또는 운반하는 화물에 부딪히거나 깔림 또는 주변 구조물과 그 사이에 끼임 위험 [대책] ▶ 굴삭기를 작업시에는 근로자가 출입이 불가하도록 작업반경내 출입금지조치 ▶ 무면허자의 운전 금지 ▶ 굴삭기 등 차랑계 건설기계를 이용하여 작업시에는 운행경로 및 작업방법 등이 포함된 안전대책에 대한 작업계획서를 작성
25	제조업등	\N	2020년 11월경 OO사업장 화약 제품 제조공정에서 재해자가 연삭 작업 중 반동으로 튀어나온 자재에 맞아 사망	분류 불가	그라인더 등 공구 사용 작업	절삭가공 중 『튕겨나온 가공날 또는 가공물(칩 등)』 등 비래로 인한 사고 위험	▶ 근로자 배치 및 교육 실시\n▶ 작업방법, 방호장치 등 필요한 사항을 미리 확인한 후 필요한 조치 실시	2020년 11월경 OO사업장 화약 제품 제조공정에서 재해자가 연삭 작업 중 반동으로 튀어나온 자재에 맞아 사망 [유발요인] 절삭가공 중 『튕겨나온 가공날 또는 가공물(칩 등)』 등 비래로 인한 사고 위험 [대책] ▶ 근로자 배치 및 교육 실시 ▶ 작업방법, 방호장치 등 필요한 사항을 미리 확인한 후 필요한 조치 실시
26	제조업등	\N	2019년 3월경 OO사업장 생산동에서 재해자가 리프틀 하부에서 수리 작업 중 불시에 가동된 리프트에 깔려 사망	리프트(일반작업용)	리프트·승강기 관련 작업	『승강로에 걸려있던 운반구가 그 원인이 제거되면서 순간적으로 낙하·상승』으로 인한 사고 위험	▶ 리프트 수리‧점검 등의 작업시 운반구 낙하방지 조치 철저\n▶ 리프트의 가이드레일 및 가이드롤러 상태, 방호장치 기능 등 필요한 사항을 점검\n▶ 리프트 수리‧점검 등의 작업 시 작업지휘자 선임	2019년 3월경 OO사업장 생산동에서 재해자가 리프틀 하부에서 수리 작업 중 불시에 가동된 리프트에 깔려 사망 [유발요인] 『승강로에 걸려있던 운반구가 그 원인이 제거되면서 순간적으로 낙하·상승』으로 인한 사고 위험 [대책] ▶ 리프트 수리‧점검 등의 작업시 운반구 낙하방지 조치 철저 ▶ 리프트의 가이드레일 및 가이드롤러 상태, 방호장치 기능 등 필요한 사항을 점검 ▶ 리프트 수리‧점검 등의 작업 시 작업지휘자 선임
